Posicao,EMPRESA,SETOR,VENDAS LÍQUIDAS VALOR(EM R$ MILHÕES),VENDAS LÍQUIDAS VALOR(EM US$ MILHÕES),VENDAS LÍQUIDAS CRESCIMENTO(EM %),LUCRO LÍQUIDO AJUSTADO(EM US$ MILHÕES),LUCRO LÍQUIDO LEGAL(EM US$ MILHÕES),PATRIMÔNIO LÍQUIDO AJUSTADO(EM US$ MILHÕES),PATRIMÔNIO LÍQUIDO LEGAL(EM US$ MILHÕES),RENTABILIDADE AJUSTADA(EM %),RENTABILIDADE LEGAL(EM %),RENTABILIDADE SOBRE VENDAS(EM %),CAPITAL CIRCUL. LÍQUIDO(EM US$ MILHÕES),LIQUIDEZ GERAL(EM NO. ÍNDICE),ENDIVIDAMENTO GERAL(EM %),ENDIVIDAMENTO LONGO PRAZO(EM %),RIQUEZA CRIADA(EM US$ MILHÕES),NO. DE EMPREG.,RIQUEZA CRIADA POR EMPREG.(EM US$ MIL),SALÁRIOS E ENCARGOS(EM US$ MILHÕES),TRIBUTOS(EM US$ MILHÕES),EBITDA(EM US$ MILHÕES),EXPORTAÇÃO VALOR(EM US$ MILHÕES),EXPORTAÇÃO % DAS VENDAS,CONTROLE ACIONÁRIO,Ano
479,Crown,Siderurgia e Metalurgia,1422.6,352.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amer./Brasileiro,2016
470,Digibras,Indústria Digital,1468.1,364.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinês,2016
481,Paquetá Calçados,Têxteis,1505.2,373.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brasileiro,2017
478,Amanco,Indústria da Construção,1525.2,378.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.6,NA,NA,5.7,1.5,Mexicano,2015
474,Huawei,Eletroeletrônico,1532.7,380.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinês,2017
446,Huawei,Eletroeletrônico,1559.2,386.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Chinês,2016
443,SAP,Indústria Digital,1593.3,395.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alemão,2016
456,Naturalle Agro,Produção Agropecuária,1604.1,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japonês,2017
455,Cocari,Produção Agropecuária,1609.6,399.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brasileiro,2017
485,Oracle,Indústria Digital,1610,399.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Americano,2019
